logging host 10.0.0.1,Logging
logging trap debugging,Logging
logging console,Logging
logging buffered 16384 informational,Logging
service timestamps log datetime msec,Logging
archive log config logging enable,Logging
logging source-interface Loopback0,Logging
logging trap warnings,Logging
logging facility local7,Logging
logging monitor debugging,Logging
logg host 10.0.0.1,Logging
logg trap dbg,Logging
logg cons,Logging
logg buff 16384 info,Logging
srvc time log date msec,Logging
logg src-int lo0,Logging
loging host 10.0.0.1,Logging
logg traph dbg,Logging
logging conole,Logging
log buff 16384 inf,Logging
ip ssh version 2,SSH Config
ip ssh time-out 60,SSH Config
ip ssh authentication-retries 3,SSH Config
transport input ssh telnet,SSH Config
ip ssh maxstartups 10,SSH Config
crypto key generate rsa modulus 2048,SSH Config
ip ssh rsa keypair-name SSH-KEYS,SSH Config
ip ssh dh min size 2048,SSH Config
ip ssh server algorithm encryption aes128-ctr,SSH Config
ip ssh client algorithm mac hmac-sha2-256,SSH Config
ip sh ver 2,SSH Config
ip ssh time 60,SSH Config
ip ssh auth 3,SSH Config
trans inp ssh,SSH Config
cry key gen rsa mod 2048,SSH Config
ip sh dh min 2048,SSH Config
ip shh version 2,SSH Config
transport inpt ssh,SSH Config
ip sshh time-out 60,SSH Config
crytpo key gen rsa,SSH Config
access-list 101 permit tcp any any eq 22c,Access Control
access-list 101 deny ip any any,Access Control
ipv6 access-list BLOCK_HTTP,Access Control
permit tcp 192.168.1.0 0.0.0.255 host 10.0.0.1 eq 80,Access Control
deny udp any any eq 53,Access Control
mac access-list extended MAC_FILTER,Access Control
access-list 10 permit 10.1.1.0 0.0.0.255,Access Control
permit icmp any any echo,Access Control
deny ipv6 any any,Access Control
remark Block Telnet traffic,Access Control
acc-list 101 perm tcp any any eq 22,Access Control
acc-list 101 den ip any any,Access Control
perm tcp 192.168.1.0 0.0.0.255 h 10.0.0.1 eq 80,Access Control
den udp any any eq 53,Access Control
acc-list 10 perm 10.1.1.0 0.0.0.255,Access Control
rem Block Telnet traffic,Access Control
aces-list 101 permit tcp any any,Access Control
